Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2024,Tanjung Karang Barat,September,Pencurian motor,Rumah,08.00-11.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Rumah,08.00-11.59,1
2024,Sukarame,September,Pencurian motor,Rumah,15.00-17.59,1
2024,Tanjung Karang Barat,September,Pencurian motor,Rumah,15.00-17.59,1
2024,Teluk Betung Selatan,September,Pencurian motor,Rumah,15.00-17.59,1
2024,Teluk Betung Timur,September,Pencurian motor,Rumah,15.00-17.59,1
2024,Sukarame,September,Pencurian motor,Rumah,12.00-14.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Rumah,18.00-21.59,3
2024,Sukarame,September,Pencurian motor,Rumah,18.00-21.59,1
2024,Tanjung Karang Barat,September,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Timur,September,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Timur,September,Pencurian motor,Rumah,04.00-04.59,3
2024,Tanjung Karang Timur,September,Pencurian motor,Rumah,04.00-04.59,2
2024,Teluk Betung Selatan,September,Pencurian motor,Rumah,04.00-04.59,1
2024,Tanjung Karang Barat,September,Pencurian motor,Rumah,05.00-07.59,2
2024,Sukarame,September,Pencurian motor,Rumah,05.00-07.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk Betung Selatan,September,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk Betung Timur,September,Pencurian motor,Rumah,05.00-07.59,1
2024,Tanjung Karang Barat,September,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,04.00-04.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2024,Tanjung Karang Timur,September,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,22.00-23.59,1
2024,Teluk Betung Timur,September,Pencurian motor,Pasar,08.00-11.59,1
2024,Kedaton,September,Pencurian motor,Tempat Parkir,05.00-07.59,1
2025,Tanjung Karang Barat,Maret,Pencurian motor,Rumah,18.00-21.59,2
2025,Kedaton,Maret,Pencurian motor,Rumah,18.00-21.59,1
2025,Tanjung Karang Barat,Maret,Pencurian motor,Rumah,08.00-11.59,1
2025,Tanjung Karang Barat,Maret,Pencurian motor,Rumah,15.00-17.59,1
2025,Tanjung Karang Barat,Maret,Pencurian motor,Rumah,12.00-14.59,1
2025,Tanjung Karang Barat,Maret,Pencurian motor,Rumah,05.00-07.59,2
2025,Tanjung Karang Timur,Maret,Pencurian motor,Rumah,05.00-07.59,2
2025,Tanjung Karang Timur,Maret,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,4
2025,Tanjung Karang Barat,Maret,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,1
2025,Tanjung Karang Timur,Maret,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,08.00-11.59,1
2025,Tanjung Karang Timur,Maret,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
